Nom de la gare,Code UIC complet,Code postal,Segmentation DRG 2021,Total Voyageurs 2020,Total Voyageurs + Non voyageurs 2020,Total Voyageurs 2019,Total Voyageurs + Non voyageurs 2019,Total Voyageurs 2018,Total Voyageurs + Non voyageurs 2018,Total Voyageurs 2017,Total Voyageurs + Non voyageurs 2017,Total Voyageurs 2016,Total Voyageurs + Non voyageurs 2016,Total Voyageurs 2015,Total Voyageurs + Non voyageurs 2015
Callac,87473546,22160,C,29476,29476,27278,27278,23917,23917,24032,24032,21166,21166,22912,22912
Carbonne,87611061,31390,B,191932,239915,242174,302718,211810,264763,275991,344989,264504,330630,285182,356478
Carnoles,87756478,6180,B,412844,516055,681005,851257,569840,712300,621458,776823,547273,684091,457493,571866
Castelnaudary,87615039,11400,B,207782,259728,281801,352252,247301,309127,307949,384937,298324,372905,294644,368305
Cattenières,87345587,59217,C,248,248,544,544,1,1,8,8,3,3,13,13
Cavaillon,87765503,84300,B,124208,155260,199358,249198,172495,215619,193612,242015,181721,227151,193683,242103
Cavignac,87491217,33620,C,40871,40871,55349,55349,44820,44820,39048,39048,31594,31594,30154,30154
Cergy Saint-Christophe,87382499,95800,B,4135105,4135105,7560627,7560627,7359555,7359555,7125540,7125540,6806298,6806298,6453027,6453027
Cérons,87582742,33720,B,217265,271582,305309,381636,256860,321075,233554,291943,212203,265254,196905,246131
Chabenet,87597112,36800,C,155,155,87,87,95,95,115,115,80,80,99,99
Challans,87481390,85300,B,118681,148351,179537,224422,149736,187171,158081,197601,141623,177029,109007,136259
Châlons-en-Champagne,87174003,51000,B,468771,585964,801402,1001753,717835,897293,825899,1032374,796200,995250,840726,1050907
Chalon-sur-Saône,87725002,71100,B,1040278,1300348,1309047,1636309,1238458,1548072,1366947,1708684,1297413,1621767,1412751,1765939
Chambourg-sur-Indre,87571463,37310,C,2154,2154,8861,8861,10751,10751,14050,14050,14040,14040,14479,14479
Chamonix Aiguille du Midi,87462085,74400,C,4729,4729,5373,5373,4670,4670,3869,3869,3105,3105,3748,3748
Champagnole,87715326,39300,C,36540,36540,35922,35922,28993,28993,33993,33993,29142,29142,27213,27213
