Nom de la gare,2020,2019,2018,2017,2016,2015
Deuil - Montmagny,1689708,3089529,3127940,3147953,3255886,3351403
Poix-Terron,87037,89351,79069,77877,70173,62413
Diarville,1373,1911,2234,1745,1284,2125
Pompey,48312,77858,68591,56376,53234,60930
Dieulouard,75096,121260,109715,111942,107485,114246
Pont de Lignon,376,1401,796,54,174,302
Dijon,4149069,6350035,5798071,6207518,5901000,6159680
Pont de Sallaumines,2675,12206,10953,10353,10272,11080
Dives-sur-Mer - Cabourg,14684,27525,20593,26720,24560,26357
Pontanevaux,25503,37095,32343,36465,35218,36131
Dives-sur-Mer Port Guillaume,1567,2510,1828,2978,2669,2978
Pontcharra - Saint-Forgeux,10191,14848,12257,17707,19419,18812
Dombasle-sur-Meurthe,219102,277386,275229,291561,291766,308697
Pont-de-Buis,12707,17857,12148,5625,7553,10252
Domont,1432536,2620960,2694723,2673396,2710479,2734396
Pont-Hébert,0,1,286,455,340,326
Don - Sainghin,122592,223793,219480,236725,229474,235004
Pont-Saint-Vincent,27541,35726,33019,32818,33702,36445
Donchery,20503,23429,22467,25803,26257,21570
Port-Sainte-Marie,30883,40711,34778,41324,40541,49159
Dourdan,520612,951888,930666,917332,890369,866000
Pougues-les-Eaux,9332,13517,12061,12487,14638,17385
Drefféac,3737,7414,5658,3504,3111,2799
Poussay,0,0,0,12,307,252
Dugny - La Courneuve T11,254099,464595,474457,240459,0,0
Pouzauges,656,779,737,678,488,596
Ebblinghem,12028,28572,27692,24707,24212,26163
Preignac,5641,5669,4025,5037,5280,7319
chirolles,281802,457707,394714,428483,380139,405563
Prin-Deyrançon,7079,4301,3786,5675,6421,7254
guzon-Chantôme,1996,4960,4776,6297,5731,5382
Pulligny - Autrey,452,952,1053,1349,1190,907
Elne,36863,65786,64944,78349,67193,73536
Puteaux,2206134,4036184,3737930,3491920,3201842,3058734
Entraigues-sur-la-Sorgue,39335,79583,77547,93044,54435,31693
Quesnoy-sur-Deûle,142,954,1248,736,1203,1077
Entzheim Aéroport,186037,374862,343863,348098,344805,347033
Quillan,28039,10767,9141,10240,9974,12199
pône - Mézières,561383,1023974,1107734,1205405,1293560,1388532
Quimper,745934,1058048,951271,949964,880602,918186
Escalquens,45517,57402,49190,64311,62219,63141
Quimperlé,225485,300957,269283,282545,266565,277708
Estressin,62138,90877,71330,82698,77341,89537
Rabastens - Coufouleux,122462,152727,120419,144721,131807,135819
talans,48741,48324,43353,48453,47593,45347
Rambouillet,2565607,4690955,4924244,5197945,5380142,5551959
tigny - Véron,4663,7273,4868,6285,6936,7684
Ranchot,61972,52998,54018,64734,67180,64787
vreux Normandie,693195,1129373,1089292,1162631,1107913,1139477
Raves - Ban-de-Laveline,682,1376,1713,1996,2049,2226
ze,74836,157317,121230,123802,99817,95155
Reignier-sery,54124,42475,30905,50371,45608,44274
Farbus,2352,3655,2718,1824,1852,2630
Rémilly,171395,221181,198676,210648,204418,218389
Fellering,23468,25221,24528,26713,29281,27050
Reuilly,18104,21607,18355,18483,18211,20358
Feurs,117116,185891,166886,188574,165252,181429
Ria-Sirach,96,788,439,115,74,269
Feyzin,71050,110781,114000,124084,117895,123307
Riom - Châtel-Guyon,677344,961682,831471,904676,850686,878075
Figeac,90222,99922,137170,167319,160735,163436
Rocamadour - Padirac,5917,6702,5726,7512,7031,6896
Fontenay-le-Fleury,1732634,3165988,2800672,2498898,2181172,1894635
Rux,14871,21031,21018,23640,22208,23362
Fontpédrouse,2240,3012,2886,3009,3703,3614
Romilly-la-Puthenaye,7101,9401,11751,12324,11288,11769
Fougeray - Langon,12307,16822,13342,9697,10415,12838
Roquebrune-Cap-Martin,57143,90870,76162,80701,63277,50498
Fouilloy,1692,1747,1394,1277,1231,478
Rouen Rive Droite,4070897,6434230,5808945,6047544,5801845,6129661
Fraisses - Unieux,181,527,434,149,808,943
Rumilly,402379,618183,551816,608629,558333,549414
Franchet d'Esperey,70769,73054,53799,46450,42094,45306
Ruminghem,26271,30921,27684,24848,24239,24833
Franconville - Le Plessis-Bouchard,3213185,5875083,5952225,5831267,5722193,5593007
Saales,30105,38779,33627,34911,31977,31968
Freinville Sevran,651427,1191070,1194722,1192432,1168850,1144456
Saint-Aigulin - La Roche-Chalais,16612,21510,13155,10372,10736,11140
Frénouville - Cagny,9392,19546,15018,15249,13308,10752
Saint-André-de-Cubzac,374173,579774,489496,440540,351784,327142
Fréteval - Morée,2479,3872,3447,3635,4175,3792
Saint-André-le-Gaz,105410,153540,140911,140463,131514,130306
Frouard,33962,54606,46822,45636,37882,41051
Saint-Aubin-sur-Scie,7474,11437,10580,13337,15054,16024
Gagny,2786126,5094411,5155124,5225983,5196181,5145520
Saint-Bonnet-de-Rochefort,4475,7943,5543,5468,5422,5012
Gaillon - Aubevoye,347651,555086,492341,534151,497116,486304
Saint-Cloud,4961718,9074757,8878763,8758417,8462103,8611117
Garchizy,45,9,6,18,58,65
Saint-Cyprien,7121,5546,8638,8592,7541,8168
Genlis,212774,243273,220044,239377,227823,233853
Saint-Cyr-en-Val La Source,31852,67204,70305,72935,72580,77618
Génolhac,19329,25944,26077,28878,30160,26947
Saint-Dié-des-Vosges,247485,363148,330696,377920,383617,405652
Germaine,13927,17553,17521,19527,19879,20198
Sainte-Anne,12677,16121,11792,6836,6347,6824
Gertwiller,22647,26369,24238,25665,24846,25690
Sainte-Colombe Septveilles,76080,139106,136480,135314,131745,127795
Gevrey-Chambertin,82277,106048,91622,99128,86418,95685
Sainte-Geneviève-des-Bois,2195462,4014188,4057666,4118094,4093512,4054279
Gignac - Cressensac,39,116,436,859,1228,1534
Sainte-Pazanne,120231,187946,176137,170164,167473,229007
Gilly-sur-Loire,3469,3741,2677,4186,5764,6047
Saintes,309878,499544,454350,521848,485212,519863
Gimont Cahuzac,37732,54608,43555,56408,51139,57265
Saint-tienne La Terrasse,71454,107576,92732,109293,108047,132894
Gisors,439629,773992,782890,928598,943223,951206
Saint-Féliu-d'Avall,932,0,215,490,553,630
Golfe Juan Vallauris,205498,366150,315547,345442,298891,309030
Saint-Germain-en-Laye Grande Ceinture,87220,159479,152536,145087,136209,127130
Gourdon,75932,96737,84878,97678,97145,100610
Saint-Hilaire-au-Temple,3,414,230,345,391,857
Gournay - Ferrières,3045,7125,10094,13094,10654,13070
Saint-Hilaire-de-Riez,32781,45305,36487,34439,28000,18369
Grandvillars,7904,6894,194,0,0,0
Saint-Jean-de-Verges,1526,2791,2218,3120,2132,2413
Grandvilliers,50401,43744,45726,51804,54952,56726
Saint-Jodard,8953,12481,11269,12696,13991,14579
Gudmont,1808,3576,2697,2071,1915,1642
Saint-Joseph le Castellas,3710,5908,4822,10794,10221,9584
Gujan-Mestras,282948,423550,370600,386863,358233,372350
Saint-Junien,16844,22353,17115,21544,21175,22508
Gunsbach - Griesbach,15724,19337,18386,23087,22226,20815
Saint-Just-en-Chaussée,407514,521732,511473,538917,535839,534584
Hagondange,698366,1031259,1014190,1073014,1105289,1154164
Saint-Laurent - Gainneville,26101,41991,37494,39359,39789,40212
Hargicourt - Pierrepont,15700,16867,14222,17002,17562,16591
Saint-Léon-sur-l'Isle,16347,16631,15292,16445,15771,16999
Hautmont,43155,83504,77176,79194,68744,72206
Saint-Leu-la-Forêt,1287204,2353567,2395427,2343136,2277835,2203356
Haybes,28125,30678,28905,30012,30349,35602
Saint-Malo,889726,1263626,1135793,1164343,1092776,1107633
Heilles - Mouchy,2963,2001,3433,4160,4285,3568
Saint-Marcel en Dombes,46259,74865,67676,75858,70139,68233
Hellemmes,1452,3251,3003,2678,3459,4392
Saint-Nazaire,627823,958231,851047,926785,882557,903619
Hennebont,81304,120366,99670,108628,104904,106043
Saint-Ouen-l'Aumône,1084031,1981424,1968878,1946678,1887874,1828723
Herblay,1827589,3341643,3353417,3380147,3342904,3221262
Saint-Pierre-du-Vauvray,0,2061,2637,2160,1598,1845
Héricy,30934,56569,57252,58225,58087,57934
Saint-Pierre-en-Faucigny,64995,75269,67226,68870,57520,47984
Igny,248827,454785,462240,474176,475809,475777
Saint-Quentin en Yvelines - Montigny-le-Bretonneux,6368898,11640712,12196000,12912173,13381659,13789333
Illiers-Combray,152054,166364,153755,148320,143108,146785
Saint-Rambert-en-Bugey,9492,13428,12328,13544,10630,13167
Ingersheim Cité Scolaire,18930,19495,20227,26196,29867,31209
Saint-Roch,49519,79609,65454,66779,71955,71790
Isles - Armentières - Congis,56630,103553,103680,103988,102504,100521
Saint-Sulpice-Laurière,29755,37213,33281,39036,46898,48585
Jacques Monod la Demi-Lieue,4865,7934,5428,8120,8253,10051
Saint-Vit,97734,125721,117759,156715,204056,205485
Javel,1961538,3586477,3621602,3667671,3643685,3602308
Saint-Yrieix-la-Perche,12447,25400,19712,26933,27333,27730
Joigny-sur-Meuse,13973,14007,14796,16490,19924,21861
Sallanches - Combloux - Megève,264387,347272,311327,329130,309005,307792
Juan les Pins,452532,811048,674569,728265,599898,640609
Salomé,9200,12839,13829,16221,15485,13952
Kerhostin,1838,1782,1411,1572,1257,1551
Salon-de-Provence,157387,251198,213132,224561,210354,225915
Kuntzig,1135,929,622,561,1398,1865
Sarcelles - Saint-Brice,3083147,5638420,5684113,5658290,5628043,5570586
La Basse Indre - Saint-Herblain,22448,35569,24395,28283,30153,25242
Sausset-les-Pins,34153,69283,63931,80008,81718,88608
La Charité-sur-Loire,124811,134915,134967,154522,151087,158355
Savenay,376887,575867,524832,514203,473277,449634
La Ciotat - Ceyreste,369263,539722,504549,541933,485870,468275
Savennières - Béhuard,29797,49522,49260,54847,56299,56626
La Défense,16539035,30264172,29752335,29470800,28638151,28392626
Saverdun,95387,136778,128348,171063,154780,156632
La Fresnais,9665,15788,12175,14017,14777,14727
Schopperten,16907,12720,14462,17754,20846,22452
La Mothe-Achard,38867,57654,50511,52838,50390,47771
Sens,778705,1149961,1098717,1187027,1159979,1204338
La Plaine Stade de France - Saint-Denis - Aubervilliers,8616895,15759876,15486341,15307926,14819294,14298405
Servas - Lent,47446,66259,67559,75840,71460,72225
La Porcherie,3009,3740,2613,2569,4509,4962
Sète,700298,956935,986790,1133128,1090965,1049464
La Possonnière,59342,113151,109779,106305,96400,93634
Sèvres - Ville-d'Avray,1426179,2607842,2544443,2500917,2413013,2063088
La Rochelle,1490951,2235983,1984267,2068356,1771473,1886734
Simandre-sur-Suran,15407,18630,14966,14491,14828,12713
La Seyne - Six-Fours,209148,320849,293355,325938,296391,279740
Solignac - Le Vigen,1044,1752,1234,1900,2047,2572
La Tour-de-Salvagny,104749,126387,127182,130905,114729,94063
Somain,234747,377659,342640,361167,351260,370685
La Tricherie,17968,21736,20676,18790,17366,19769
Sospel,28644,57160,52227,56821,50748,46369
La Verrière,2264112,4138664,4420623,4756541,5019988,5270556
Souppes - Château-Landon,382182,691753,674162,684942,656972,643835
La Ville Gozet,635,453,321,328,411,777
Staffelfelden,50329,68825,68939,68285,64665,67839
La Villette Saint-Prest,68967,93032,86348,92946,96104,105602
Steinbourg,62913,61815,62493,67964,75710,78504
L'Abbaye,468347,856326,869325,878787,872604,865256
Strazeele,39005,49897,47075,49485,45932,47677
Labenne,26661,40509,30245,30003,27794,27985
Surdon,42455,66411,56612,63283,65125,55804
Laboissière - Le Déluge,25990,27855,25292,23832,21395,17744
Surgères,257923,372949,350762,370151,332363,361287
Lacapelle-Viescamp,18,51,31,9,16,32
Taverny,876446,1602736,1641770,1616718,1578665,1535157
Lafarge,2755,4155,4876,5445,6098,7759
Tenay - Hauteville,21893,29469,34144,34113,30560,32579
Laguépie,4219,5671,4258,4525,3845,4188
Tergnier,367899,445816,453397,490504,444261,423860
Lalinde,14034,14540,22985,22235,20266,22561
Thann,107817,163382,163921,166720,162257,170131
Lamure-sur-Azergues,15377,25077,21666,22679,26273,32362
Théoule-sur-Mer,12268,14349,10721,10507,16923,18791
Lancerf,367,446,358,134,325,339
Thiaville-sur-Meurthe,246,923,2262,3181,1957,1724
Landébia,1847,2057,3078,3324,3656,5031
Thiers,33449,43341,41587,49162,49971,57483
Langon,533009,768352,701339,678569,627862,641240
Thourotte,29235,45937,43935,53099,50880,58107
Laroquebrou,2638,3527,3546,3815,4322,5164
Tonneins,127587,177676,153595,167831,163938,173850
Lathus-Saint-Rémy,579,822,537,611,799,1099
Tonnerre,85735,134669,127065,137259,128762,137717
Lavoûte-sur-Loire,8303,8833,7061,6330,9611,9780
Toulon,2524370,3668509,3534118,4122788,3835728,3813793
Le Bourget T11,1313026,2400737,2456747,1246435,0,0
Tournay,13448,14364,14349,18993,18808,21615
Le Bras de Fer,1606639,2937587,2961835,2997353,2976043,2937923
Trélazé,30106,44256,1684,0,0,0
Le Chénay Gagny,1787681,3268600,3277376,3294408,3248342,3187642
Trémolat,2828,1260,3224,4480,4644,4761
Le Grau-du-Roi,127601,59262,53899,57017,49797,59445
Trentels Ladignac,746,850,585,1057,501,316
Le Meux - Lacroix-Saint-Ouen,26071,39014,32022,34707,34528,33071
Tricot,41557,46366,49591,55217,56236,56762
Le Molay-Littry,16827,21046,19002,21613,23463,23771
Triel-sur-Seine,254048,463897,505248,553796,594291,585508
Le Plessis Chenet,22022,40266,41814,43875,45020,45980
Turckheim,28530,47400,40872,49480,49115,50446
Le Theil - La Rouge,13117,20229,18549,18680,20037,21490
Urmatt,95408,125815,118873,130479,132751,133884
Le Toec,5366,5295,3553,3025,3435,3717
Vaires - Torcy,1250818,2286419,2271942,2264107,2214025,2154317
Le Tréport - Mers-les-Bains,28429,34731,40868,49062,50976,56461
Valence d'Agen,49269,60291,53380,60396,64647,70260
Leforest,186332,270847,239341,248146,224614,222919
Valleiry,22636,41979,33024,36046,20449,24507
Lens,995465,1603634,1495770,1649166,1603612,1599323
Vannes,1088186,1599913,1412592,1443182,1324949,1322859
Lépin-le-Lac - La Bauche,40970,56105,55118,63877,53151,60382
Varennes-sur-Allier,58073,96115,81562,94465,82671,83620
Les Ardoines,1417399,2591321,2586453,2578806,2525837,2462788
Varilhes,22937,44325,33531,43364,45531,50304
Les Fontinettes,14946,30715,25605,26935,24662,22148
Vaumoise,2191,961,609,886,892,621
Les Grésillons,1506311,2754273,2688760,2643726,2550407,2446842
Vauvert,13909,3329,2447,2149,1634,1528
Les Islettes,28,83,103,26,40,154
Vélines,32254,30900,46346,50005,48680,53795
Les Laumes Alésia,136224,167251,159684,172023,156184,166751
Vendenheim,79654,123981,109019,101834,116758,118122
Les Martres-de-Veyre,127362,151831,147413,164243,165126,167838
Vermenton,4665,6541,5255,4919,4151,4579
Les Praz de Chamonix,4392,5418,6842,6363,5002,5497
Vernaison,50592,85053,69916,81078,70150,75963
Les Quatre-Routes-du-Lot,1101,1358,1383,1479,1638,2784
Versailles Chantiers,12528752,22909416,23336771,23974181,24132107,24191310
Les Sables Blancs,335,364,225,173,230,207
Versigny,1745,2249,2810,4263,6093,6698
Lesseux - Frapelle,0,0,3,37,389,344
Vertou,47422,89228,103231,120465,104147,90625
Lézignan-Corbières,71123,97511,79030,101833,93211,90191
Vézelise,3218,4113,6844,10559,16887,20218
Liart,203,274,24,10,7,22
Viaduc Sainte-Marie,536,1226,910,1057,992,847
Liesle,8911,7137,4209,5420,7003,8435
Vic-sur-Cère,6865,9244,10451,11805,11997,12489
Lille CHR,192628,287018,239606,239655,219877,216828
Vierzon,583117,871397,794124,865479,856521,885793
Limeyrat,542,1221,58,283,935,674
Viévola,76,134,60,118,115,159
Limoux,7083,7516,4776,6259,7119,6786
Vigeois,6736,7963,7841,8161,9614,8686
L'Isle-d'Abeau,159510,228996,201520,211322,197159,229555
Villabé,111995,204775,213167,222934,229174,234474
L'Isle-sur-le-Doubs,86730,106385,87144,89119,83533,92421
Villefort,8837,11344,9878,10287,9444,9035
Liverdun,21124,29876,27533,24551,20434,18548
Villeneuve-la-Guyard,117425,155131,109228,129110,130287,147245
Livry-sur-Seine,61409,112341,107957,104859,98867,93577
Villers-les-Pots,1079,976,1361,6991,6220,6141
Longroy - Gamaches,948,744,1346,2093,2731,3376
Villers-sur-Mer,3706,6889,5775,6951,6601,6884
Longuerue - Vieux-Manoir,7437,11158,11120,9873,11893,13770
Villiers Montbarbin,35120,64214,61424,58900,55391,51920
Longuyon,38069,56106,45700,53746,54140,73542
Viroflay Rive Droite,1475578,2698201,2147701,1720725,1350015,1427232
Lothiers,45,388,752,980,1088,955
Viry-Noureuil,195,280,390,278,549,1064
Lourches,8826,15041,14353,13822,11772,10803
Vitry-sur-Seine,2496968,4565282,4630398,4695475,4676851,4636524
Lourdes,199322,415327,375349,426612,406686,418492
Voiron,929129,1362221,1197133,1270062,1210485,1236354
Loures - Barbazan,833,1329,1101,1235,1296,1389
Voivres-lès-le-Mans,8191,22708,25628,24988,24399,22490
Louroux-de-Bouble,1987,2647,1573,1693,3188,3372
Voyenne,8592,8165,6987,3713,5144,6586
Lozanne,187167,303063,270352,326687,303163,311082
Vraincourt - Viéville,1555,3326,4557,6653,8549,7554
Luçay-le-Mâle,12396,12090,12893,14251,15517,15277
Wallers,10687,25641,29475,32284,27029,25866
Ludon-Médoc,37832,44365,37270,31621,19439,26090
Wingen-sur-Moder,90890,121851,128401,130779,129989,131362
Lutterbach,39886,49250,45475,47464,51734,65370
Wisches,79288,88851,91479,100373,103452,112884
Luzenac - Garanou,5151,9222,8507,10892,9797,9369
Wissembourg,149990,206134,194074,200694,187709,194148
Lycée Henri Sellier,730480,1335610,1332694,1338409,1316397,1288152
Ytrac,17,49,26,25,34,2
Lyon Saint-Paul,1099732,1592773,1434039,1461390,1298877,1186092
Zetting,17810,15244,14705,17152,17306,16874
Machecoul,54369,79509,66000,68551,61895,48422
Mâcon Loché TGV,241155,468049,431203,458195,425545,426960
Magnac - Vicq,13287,13498,13083,12782,11319,14010
Magnette,937,2288,4108,4979,4824,2356
Mailly-la-Ville,3609,5072,3429,2971,2359,2584
Maizières-lès-Metz,145265,233235,216656,243032,236360,247054
Malause,0,0,162,432,794,1263
Mantes-la-Jolie,6274411,11473614,11017685,10662194,10174217,9474592
Marcelcave,43568,50551,45126,41982,41023,40878
Marigny,8587,7067,5830,7726,7893,9236
Marmande,302288,475299,419848,445085,419885,433512
Marquette,140,42,121,13,14,6
Maurois,179,337,474,112,606,1118
Mazamet,40290,55808,48875,61909,58346,60454
Ménil Flin,936,1094,1567,2643,2072,2019
Mérens-les-Vals,1401,3473,2318,2514,2448,2236
Méricourt - Ribemont,35184,39174,35096,32162,30772,29761
Mervans,6217,9278,7265,7111,6259,7124
Mesves - Bulcy,3830,3183,3006,3581,4583,5750
Metz Nord,25967,35065,30706,30222,24439,17291
Metzervisse,3651,4874,4727,5608,6276,6867
Meung-sur-Loire,215000,319749,298142,290582,269021,281010
Meursault,10755,18328,16723,18019,15772,16038
Meyrargues,29394,54518,55461,67773,65324,68670
Milhaud,1989,4354,3206,3753,3213,2195
Millas,1195,286,368,508,322,364
Milly-sur-Thérain,4098,5878,7516,7719,7829,8988
Miramas,423780,668063,617949,666781,625844,636861
Modane,163718,205104,205051,214537,194357,195519
Monsempron-Libos,20630,35773,35246,39031,42400,45076
Montaigu,216542,320635,314293,327763,317754,322737
Montargis,1002392,1717950,1642327,1673680,1588939,1588011
Montbizot,12385,29840,35995,35712,31959,29633
Montchanin,68536,78852,69086,85623,93253,100200
Mont-de-Marsan,273230,355435,316906,317866,275100,280991
Montérolier - Buchy,25405,38036,33488,32289,31402,33569
Monteux,51419,106553,107288,126879,86965,45716
Montfort-l'Amaury - Méré,352739,644638,647541,658762,652624,645654
Montigny-sur-Loing,117592,214722,217333,220429,218474,216959
Montmédy,2001,5546,4739,7056,8207,9503
Montmélian,338293,509833,457599,492212,458017,470609
Montreuil sur Mer,2242,2462,2112,29338,51489,57554
Mont-sur-Meurthe,8703,10788,9382,9930,12366,12404
Mormant,249029,455346,447454,444280,431778,417233
Morre,5818,8286,10191,10453,10325,11412
Moulis - Listrac,17758,28996,21411,17867,14069,17014
Muhlbach-sur-Munster,29649,31410,28888,30407,31929,31602
Muizon,80902,73393,65407,77331,82000,83049
Munster,205614,245420,252154,276523,276039,274483
Musée d'Orsay,2592091,4739380,4970262,5213150,5371774,5514887
Najac,7299,10999,6466,8610,7247,7567
Namps - Quevauvillers,413,459,598,794,1198,1084
Nérondes,17334,20245,16909,17891,20498,22791
Nesle,51058,72574,61864,66003,63239,66017
Neufchâteau,47657,73661,87866,93348,80656,80707
Neuillé-Pont-Pierre,13053,15069,15307,14988,18315,18864
Nézel - Aulnay,45256,82508,82478,82538,81051,79481
Nice Saint-Augustin,805886,1668234,1397161,1482063,1142175,1076577
Niederbronn-les-Bains,105679,128680,129055,128558,131183,129231
Nîmes,2369197,3585941,3669749,4105151,3937669,3794045
Nîmes Pont du Gard,405086,15135,0,0,0,0
Nointel - Mours,235315,430630,421212,408289,403564,397988
Noisy-le-Roi,129963,237626,243194,249046,251371,253878
Nonancourt,5516,10375,9831,10910,13214,14725
Nortkerque,2048,2870,2137,2398,2296,2749
Nouan-le-Fuzelier,26442,35637,35741,40678,39239,39077
Nouvion-sur-Meuse,45387,45483,45054,55084,61589,60999
Noyon,417972,560845,534211,594724,581178,582612
Nuits sous Ravières,22087,34707,27520,30273,29463,31124
Nurieux-Volognat,9901,20701,18300,22712,23201,24107
Oloron-Sainte-Marie,60818,98363,76510,93277,93239,93882
Onville,4173,5287,5740,8123,8982,11298
Orléans,2071845,3417122,3436479,3680857,3407093,3557414
Ouges,7286,14461,11913,13018,11390,8819
Oyonnax,81885,102677,89149,93231,98712,103838
Pagny-sur-Meuse,3509,4708,3520,2801,2931,3962
Paray-le-Monial,156383,150991,116990,123040,121900,137357
Parc des Expositions,1526202,2790979,2749960,2734326,2661353,2582285
Paris Bercy Bourgogne - Pays d'Auvergne,2498330,4318464,3983108,4003278,3702383,3823448
Paris Gare de Lyon,63133340,112644337,111226947,113962625,111664289,111506043
Parsac - Gouzon,241,343,177,233,344,231
Pau,621116,837523,725078,830486,760097,806310
Penhoët,39787,50651,33875,34382,34666,30736
Penne-d'Agenais,10037,17528,16672,17974,18351,19069
Persan - Beaumont,2248982,4112008,4071799,3932743,3707776,3487981
Pertuis,5067,9661,16784,53695,51534,51241
Picquigny,58943,67126,63106,66180,70002,70293
Pierre-Bénite,26703,45505,30102,30331,25258,31180
Pierrelatte,187033,287040,258083,284941,262644,286326
Pierreville,181,0,0,270,1000,1906
Planès,310,388,419,469,644,638
Pleudihen-sur-Rance,1007,835,1157,1538,2380,1588
Plouharnel - Carnac,4877,5478,4199,3127,3714,2590
Plounérin,345,1281,888,817,588,620
Poliénas,24212,32826,28145,32515,27218,23765
Pont Cardinet,3696493,6759706,6103661,5633400,5161047,3511372
Pont de Dore,37081,58791,55333,64852,64099,68005
Pontchâteau,105595,202871,212620,226241,233789,234195
Pont-d'Ain,19543,26296,21678,26249,24673,24354
Pont-de-Veyle,33863,43215,38597,43783,42216,47317
Pont-du-Casse,360,711,573,451,292,237
Pontmort,12565,17357,16232,21981,24978,25693
Pontoise,4350282,7951035,8172721,8065338,7866331,7392889
Pont-Remy,11473,16813,14120,17400,17224,17444
Port-Brillet,24133,51913,59807,65049,62147,61758
Port-la-Nouvelle,70509,83628,71159,87075,78634,74666
Pouilly-sur-Loire,8191,10479,7249,7458,6802,10062
Pouxeux,10604,13399,10635,12728,7487,5278
Quédillac,16478,15811,14362,10624,7876,9223
Questembert,122833,161690,130897,119824,107051,110266
Raedersheim,34582,52673,46533,48062,45192,43876
Rai - Aube,0,5,0,25,29,34
Raismes,30960,47322,42094,43713,39930,37624
Ranspach,18331,18981,19487,22046,23264,22381
Razac-sur-l'Isle,3803,5446,2851,3667,4646,6424
Réding,44147,59618,50947,43273,33727,33952
Redon,454586,740222,723108,802461,817109,811897
Régny,32098,36415,39049,40143,28205,30071
Remise  Jorelle,265429,485311,532143,580626,623148,666150
Retiers,29121,38366,38574,43416,75620,89786
Revigny-sur-Ornain,90024,89991,78841,87446,90608,99365
Revin,166336,173618,176229,198749,223448,230865
Rieux - Angicourt,96796,131928,128734,144669,147764,152857
Rombas - Clouange,41738,67381,60009,63890,62424,71512
Rosheim,147359,223447,206667,206855,199098,191057
Rosny Bois Perrier,3502699,6404337,6491187,6520046,6464430,6381483
Rosporden,112547,156659,141427,159285,152470,150292
Rountzenheim,22632,31261,27752,29914,32155,34186
Royat - Chamalières,1809,3335,3000,3512,3279,4031
Ruelle-sur-Touvre,480,956,3501,5251,5148,6692
Ruffey-lès-Echirey,13979,11368,13066,15158,13713,17446
Rungis La Fraternelle,422567,772844,785411,808269,813669,816513
Saillans,11778,13514,9770,11765,10594,9405
Saint-Amand-les-Eaux,491357,778244,726583,742010,686246,679655
Saint-Amour,33285,51071,43525,45116,39553,40849
Saint-André-de-Corcy,147522,258339,230575,250018,238906,237176
Saint-Antoine,17971,33063,33061,38804,30814,30930
Saint-Antoine-du-Rocher,13290,14268,17539,17089,19044,21199
Saint-Avold,150433,250873,229493,263471,247406,267007
Saint-Béron - La Bridoire,11205,15911,17138,20433,19063,17741
Saint-Brieuc,897060,1340194,1235284,1277265,1217822,1217908
Saint-Césaire,11084,16278,12823,14749,9770,10413
Saint-Clair - Les Roches,363082,549243,491215,500457,448046,430657
Saint-Claude,14553,33828,25474,33105,33065,33303
Saint-Cyprien Arènes,209877,255054,229435,288438,283908,304711
Saint-Cyr Les Lecques - La Cadière,237125,339760,319207,343919,317891,313556
Saint-Dalmas de Tende,3695,5949,4602,7356,7654,7171
Sainte-Colombe,15185,12094,13993,16285,13339,13097
Sainte-Gauburge,1062,3656,3617,3826,4134,3578
Sainte-Marthe en Provence,17900,28648,24839,52239,53579,57591
Saint-Florent-sur-Cher,8315,13388,13623,15890,16555,17712
Saint-Georges-de-Luzençon,280,1591,1189,1076,2466,11473
Saint-Georges-de-Reneins,39371,66746,57702,59201,60094,63468
Saint-Germain-en-Laye Bel-Air - Fourqueux,132260,241825,247908,254373,257161,259013
Saint-Gildas-des-Bois,16340,33328,38546,47967,49030,43785
Saint-Gilles Lycée Haut-Rhin,63288,58513,53955,62013,63746,67659
Saint-Gilles-Croix-de-Vie,79246,113411,99438,105626,93217,61724
Saint-Jean-de-Luz - Ciboure,270478,380647,314755,340250,302297,313339
Saint-Laurent-d'Aigouze,863,425,236,651,596,607
Saint-Laurent-de-la-Prée - Fouras,22090,33925,27653,37600,32003,31888
Saint-Leu-d'Esserent,64102,117808,118327,127725,126491,129788
Saint-Louis les Aygalades,0,0,0,0,16,30
Saint-Maixent-L'cole,120436,177546,172022,201845,197027,201952
Saint-Mariens - Saint-Yzan,106345,153384,133983,127040,116995,115857
Saint-Mars-la-Brière,2026,9515,10393,16072,16082,16442
Saint-Martin-de-Crau,61043,90873,83479,92036,90739,89200
Saint-Nabord,4724,6705,5103,5094,3978,2351
Saint-Nom-la-Bretèche Forêt de Marly,732116,1338668,1361743,1390132,1389478,1426316
Saint-Ouen,2066391,3778187,3826855,3935467,3949540,3942411
Saint-Patrice,9345,10059,9915,8345,8360,8861
Saint-Raphaël,768875,1137127,1007163,1216384,1165828,1220277
Saint-Remy-en-l'Eau,89,170,92,311,206,632
Saint-Saturnin-lès-Avignon,13520,19977,16523,16460,13198,19959
Saint-Saviol,23456,33056,28325,34869,36575,36325
Saint-Sébastien Frêne Rond,17575,28256,26294,24981,21474,15863
Saint-Sébastien Pas Enchantés,18327,30198,31292,31559,30728,25589
Saint-Seurin-sur-l'Isle,86773,117350,109771,122325,117801,113359
Saint-Thégonnec,80,591,399,662,1114,536
Saint-Victor - Thizy,18210,20748,19050,21617,21460,18268
Saint-Vincent le Château,6339,11474,8591,6262,10825,11129
Saint-Vincent-de-Tyrosse,122390,165945,145525,160134,137194,140132
Sallaumines,9591,15527,12786,12327,14027,17301
Sannois,2013908,3682623,3660733,3523862,3247072,3270836
